address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,livingArea,price,url,yearBuilt
Pittsburgh,PA,1219 W North Ave,,15233,2.0,2.0,,64900,https://www.zillow.com/homedetails/1219-W-North-Ave-Pittsburgh-PA-15233/11611695_zpid/,1905.0
Pittsburgh,PA,320 Fort Duquesne Blvd APT 14K,,15222,2.0,2.0,1420.0,375000,https://www.zillow.com/homedetails/320-Fort-Duquesne-Blvd-APT-14K-Pittsburgh-PA-15222/11362989_zpid/,1964.0
Shadyside,PA,5301 5th Ave APT 5,,15232,4.0,3.0,4099.0,1495000,https://www.zillow.com/homedetails/5301-5th-Ave-APT-5-Shadyside-PA-15232/2126181745_zpid/,2013.0
Pittsburgh,PA,1006 Constance St,,15212,1.5,4.0,2800.0,260000,https://www.zillow.com/homedetails/1006-Constance-St-Pittsburgh-PA-15212/11395442_zpid/,1900.0
Pittsburgh,PA,708 Seavey Rd,,15209,0.0,,,185000,https://www.zillow.com/homedetails/708-Seavey-Rd-Pittsburgh-PA-15209/59836707_zpid/,1900.0
Pittsburgh,PA,320 Fort Duquesne Blvd APT 7E,,15222,2.0,1.0,1140.0,219900,https://www.zillow.com/homedetails/320-Fort-Duquesne-Blvd-APT-7E-Pittsburgh-PA-15222/2070299965_zpid/,1964.0
Pittsburgh,PA,1620 Westmoreland Ave,,15206,2.0,3.0,1656.0,70000,https://www.zillow.com/homedetails/1620-Westmoreland-Ave-Pittsburgh-PA-15206/11337727_zpid/,1920.0
Pittsburgh,PA,3400 Webster Ave,,15219,2.0,5.0,2688.0,129900,https://www.zillow.com/homedetails/3400-Webster-Ave-Pittsburgh-PA-15219/11403552_zpid/,1920.0
Pittsburgh,PA,1419 Hubbard St,,15212,3.0,4.0,,198000,https://www.zillow.com/homedetails/1419-Hubbard-St-Pittsburgh-PA-15212/11604074_zpid/,1911.0
Pittsburgh,PA,717 Bellefonte St APT 3,,15232,2.0,2.0,1648.0,465000,https://www.zillow.com/homedetails/717-Bellefonte-St-APT-3-Pittsburgh-PA-15232/2070290665_zpid/,1985.0
Pittsburgh,PA,30 Bonvue St,,15214,1.0,3.0,1316.0,134900,https://www.zillow.com/homedetails/30-Bonvue-St-Pittsburgh-PA-15214/11269679_zpid/,1927.0
Pittsburgh,PA,1021 Allegheny Ave,,15233,3.0,3.0,,449900,https://www.zillow.com/homedetails/1021-Allegheny-Ave-Pittsburgh-PA-15233/11376518_zpid/,1882.0
Pittsburgh,PA,36 Petermans Ln,,15235,3.0,3.0,1677.0,165000,https://www.zillow.com/homedetails/36-Petermans-Ln-Pittsburgh-PA-15235/11491310_zpid/,1935.0
Pittsburgh,PA,105 Bonita Ter,,15212,3.0,3.0,1299.0,224900,https://www.zillow.com/homedetails/105-Bonita-Ter-Pittsburgh-PA-15212/11271195_zpid/,1955.0
Pittsburgh,PA,5817 Kentucky Ave,,15232,3.0,5.0,3800.0,740000,https://www.zillow.com/homedetails/5817-Kentucky-Ave-Pittsburgh-PA-15232/11628824_zpid/,1900.0
Pittsburgh,PA,9752 Lindsay Rd,,15237,3.0,4.0,3468.0,369900,https://www.zillow.com/homedetails/9752-Lindsay-Rd-Pittsburgh-PA-15237/11643387_zpid/,1909.0
Pittsburgh,PA,409 Jamesborough Dr,,15238,5.0,5.0,3300.0,829900,https://www.zillow.com/homedetails/409-Jamesborough-Dr-Pittsburgh-PA-15238/11487597_zpid/,1984.0
Pittsburgh,PA,816 Spring Garden Ave,,15212,1.0,3.0,1816.0,125000,https://www.zillow.com/homedetails/816-Spring-Garden-Ave-Pittsburgh-PA-15212/11395193_zpid/,1900.0
Pittsburgh,PA,714 Cherokee St,,15219,3.0,2.0,1176.0,199900,https://www.zillow.com/homedetails/714-Cherokee-St-Pittsburgh-PA-15219/11406980_zpid/,1935.0
Pittsburgh,PA,5122 Friendship Ave,,15224,0.0,,,625000,https://www.zillow.com/homedetails/5122-Friendship-Ave-Pittsburgh-PA-15224/11524226_zpid/,1900.0
Pittsburgh,PA,309 Fisk Ave,,15202,3.0,5.0,1948.0,19900,https://www.zillow.com/homedetails/309-Fisk-Ave-Pittsburgh-PA-15202/11368683_zpid/,1920.0
Pittsburgh,PA,6 Neff St UNIT C,,15211,2.0,3.0,3540.0,1107000,https://www.zillow.com/homedetails/6-Neff-St-UNIT-C-Pittsburgh-PA-15211/2075649454_zpid/,2013.0
Pittsburgh,PA,5743 Elmer St,,15232,4.0,3.0,,899999,https://www.zillow.com/homedetails/5743-Elmer-St-Pittsburgh-PA-15232/11625257_zpid/,
Pittsburgh,PA,351 Spahr St,,15232,2.0,4.0,2021.0,499000,https://www.zillow.com/homedetails/351-Spahr-St-Pittsburgh-PA-15232/11625077_zpid/,1916.0
Pittsburgh,PA,5440 Hillcrest St,,15206,1.0,3.0,1080.0,150000,https://www.zillow.com/homedetails/5440-Hillcrest-St-Pittsburgh-PA-15206/11520405_zpid/,1915.0
